VIN,OTAUpdateId
1NDEQ52026A100001,OTA-001
1NDEQ52026A100002,OTA-002
1NDEQ52026A100003,OTA-003
WDB22220262100004,OTA-004
WDB22220262100005,OTA-005
WDB22220262100006,OTA-006
LFV33330262100007,OTA-007
LFV33330262100008,OTA-008
LFV33330262100009,OTA-009
1NDLT52026A100010,OTA-010
1NDCR52026A100011,OTA-011
1NDCR52026A100012,OTA-012
WDB22220262100014,OTA-013
1NDEQ52026A100015,OTA-014
1NDEQ52026A100001,OTA-015
WDB22220262100004,OTA-016
WDB22220262100006,OTA-017
LFV33330262100008,OTA-018
1NDLT52026A100010,OTA-019
1NDEQ52026A100002,OTA-020
